,subfamily,sum,celltype
pseudobulk_86,YY1:C2H2,0.8922217425824783,precursor B cell
pseudobulk_87,YY1:C2H2,0.9443560600093885,immature B cell
pseudobulk_88,YY1:C2H2,0.9985286704250029,Slamf1-negative multipotent progenitor cell
pseudobulk_89,YY1:C2H2,1.1034914420597488,naive B cell
pseudobulk_90,YY1:C2H2,1.0992532453965396,naive B cell
pseudobulk_91,YY1:C2H2,1.0002828703854902,macrophage
pseudobulk_92,YY1:C2H2,1.008712087670574,macrophage
pseudobulk_93,YY1:C2H2,1.0877318360289792,immature B cell
pseudobulk_94,YY1:C2H2,1.063849152662442,naive B cell
pseudobulk_95,YY1:C2H2,0.9418026581552112,Slamf1-negative multipotent progenitor cell
pseudobulk_96,YY1:C2H2,0.9152597743814113,naive B cell
pseudobulk_97,YY1:C2H2,0.9637651388984523,Slamf1-negative multipotent progenitor cell
pseudobulk_98,YY1:C2H2,0.8324226111726603,immature T cell
pseudobulk_99,YY1:C2H2,0.9180299868967268,immature NK T cell
pseudobulk_0,Ebox/CACGTG/1:bHLH,0.21110599070152603,late pro-B cell
pseudobulk_1,Ebox/CACGTG/1:bHLH,0.18693754205742152,naive B cell
pseudobulk_2,Ebox/CACGTG/1:bHLH,0.22669804425095208,late pro-B cell
pseudobulk_3,Ebox/CACGTG/1:bHLH,0.19597733005866758,macrophage
pseudobulk_4,Ebox/CACGTG/1:bHLH,0.22847614836064167,late pro-B cell
pseudobulk_5,Ebox/CACGTG/1:bHLH,0.18240823147425544,precursor B cell
pseudobulk_6,Ebox/CACGTG/1:bHLH,0.16477962170938554,naive B cell
pseudobulk_7,Ebox/CACGTG/1:bHLH,0.1789974845814868,naive B cell
pseudobulk_8,Ebox/CACGTG/1:bHLH,0.1855214557799627,granulocyte
pseudobulk_9,Ebox/CACGTG/1:bHLH,0.1974634158978006,granulocyte
pseudobulk_10,Ebox/CACGTG/1:bHLH,0.15062103490708978,granulocyte
pseudobulk_11,Ebox/CACGTG/1:bHLH,0.20341812474362087,granulocyte monocyte progenitor cell
pseudobulk_12,Ebox/CACGTG/1:bHLH,0.1632756237704598,granulocyte
pseudobulk_13,Ebox/CACGTG/1:bHLH,0.22144578234292567,naive B cell
pseudobulk_14,Ebox/CACGTG/1:bHLH,0.2106589156028349,naive B cell
pseudobulk_15,Ebox/CACGTG/1:bHLH,0.2150562017941411,naive B cell
pseudobulk_16,Ebox/CACGTG/1:bHLH,0.2041817017016001,mature natural killer cell
pseudobulk_17,Ebox/CACGTG/1:bHLH,0.20834175912023056,precursor B cell
pseudobulk_18,Ebox/CACGTG/1:bHLH,0.21697701278753811,naive B cell
pseudobulk_19,Ebox/CACGTG/1:bHLH,0.227991897638276,late pro-B cell
pseudobulk_20,Ebox/CACGTG/1:bHLH,0.20221880688040983,naive B cell
pseudobulk_21,Ebox/CACGTG/1:bHLH,0.18743605076633685,precursor B cell
pseudobulk_22,Ebox/CACGTG/1:bHLH,0.21772105357604232,late pro-B cell
pseudobulk_23,Ebox/CACGTG/1:bHLH,0.17473515834217324,granulocyte
pseudobulk_24,Ebox/CACGTG/1:bHLH,0.18188444930274272,granulocyte
pseudobulk_25,Ebox/CACGTG/1:bHLH,0.18422519504019874,granulocyte
pseudobulk_26,Ebox/CACGTG/1:bHLH,0.18592609909592284,precursor B cell
pseudobulk_27,Ebox/CACGTG/1:bHLH,0.1897533603168995,hematopoietic precursor cell
pseudobulk_28,Ebox/CACGTG/1:bHLH,0.18968066629895475,Slamf1-negative multipotent progenitor cell
pseudobulk_29,Ebox/CACGTG/1:bHLH,0.19374890663675615,Slamf1-negative multipotent progenitor cell
pseudobulk_30,Ebox/CACGTG/1:bHLH,0.20781591996114912,common lymphoid progenitor
pseudobulk_31,Ebox/CACGTG/1:bHLH,0.1949453297056607,Slamf1-negative multipotent progenitor cell
pseudobulk_32,Ebox/CACGTG/1:bHLH,0.19008719567864318,Slamf1-negative multipotent progenitor cell
pseudobulk_33,Ebox/CACGTG/1:bHLH,0.19594556448282674,common lymphoid progenitor
pseudobulk_34,Ebox/CACGTG/1:bHLH,0.1982824129427172,Slamf1-negative multipotent progenitor cell
pseudobulk_35,Ebox/CACGTG/1:bHLH,0.20011264770801063,precursor B cell
pseudobulk_36,Ebox/CACGTG/1:bHLH,0.18112085963366553,hematopoietic precursor cell
pseudobulk_37,Ebox/CACGTG/1:bHLH,0.1432975192037702,granulocyte
pseudobulk_38,Ebox/CACGTG/1:bHLH,0.15368703655985883,granulocyte
pseudobulk_39,Ebox/CACGTG/1:bHLH,0.16699350054841489,granulocyte
pseudobulk_40,Ebox/CACGTG/1:bHLH,0.1799774983592215,monocyte
pseudobulk_41,Ebox/CACGTG/1:bHLH,0.17249500069829082,granulocyte
pseudobulk_42,Ebox/CACGTG/1:bHLH,0.19518764037638903,monocyte
pseudobulk_43,Ebox/CACGTG/1:bHLH,0.18062656561960466,granulocyte
pseudobulk_44,Ebox/CACGTG/1:bHLH,0.14975368415616686,granulocyte
pseudobulk_45,Ebox/CACGTG/1:bHLH,0.19817709437120357,monocyte
pseudobulk_46,Ebox/CACGTG/1:bHLH,0.1915098923145706,granulocytopoietic cell
pseudobulk_47,Ebox/CACGTG/1:bHLH,0.19438316437521053,granulocyte
pseudobulk_48,Ebox/CACGTG/1:bHLH,0.16204370587365702,granulocyte
pseudobulk_49,Ebox/CACGTG/1:bHLH,0.1777785589438281,naive B cell
